Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1999-01-04,1.1794,1.1925,1.1793,1.1866,2926.0,199903.0,1313.0
1999-01-05,1.1868,1.1884,1.1792,1.182,2112.0,199903.0,2091.0
1999-01-06,1.182,1.1827,1.158,1.1642,5107.0,199903.0,3816.0
1999-01-07,1.1662,1.1773,1.1652,1.1749,3894.0,199903.0,4191.0
1999-01-08,1.1751,1.1757,1.1575,1.1629,4032.0,199903.0,4469.0
1999-01-11,1.1602,1.1637,1.1518,1.1523,6195.0,199903.0,7627.0
1999-01-12,1.153,1.16,1.1486,1.1586,3266.0,199903.0,8241.0
1999-01-13,1.1601,1.1825,1.1593,1.1688,5765.0,199903.0,7212.0
1999-01-14,1.1697,1.1759,1.1654,1.1742,1304.0,199903.0,6902.0
1999-01-15,1.1738,1.177,1.1598,1.1622,1065.0,199903.0,6466.0
1999-01-19,1.1597,1.1668,1.1597,1.1643,1889.0,199903.0,6184.0
1999-01-20,1.1642,1.165,1.1575,1.1586,1596.0,199903.0,6494.0
1999-01-21,1.1597,1.1643,1.158,1.163,1115.0,199903.0,6356.0
1999-01-22,1.1628,1.1654,1.1591,1.1616,1246.0,199903.0,6823.0
1999-01-25,1.1609,1.1638,1.1583,1.1584,975.0,199903.0,7176.0
1999-01-26,1.1585,1.1615,1.1575,1.1589,1853.0,199903.0,6850.0
1999-01-27,1.159,1.159,1.1435,1.1459,14839.0,199903.0,18690.0
1999-01-28,1.1465,1.1494,1.1405,1.1446,7198.0,199903.0,22412.0
1999-01-29,1.1438,1.1452,1.137,1.1391,2584.0,199903.0,23650.0
1999-02-01,1.1408,1.1417,1.1313,1.1336,5328.0,199903.0,27109.0
1999-02-02,1.1324,1.1388,1.1311,1.1371,2629.0,199903.0,27050.0
1999-02-03,1.1371,1.1382,1.1331,1.1341,4844.0,199903.0,26981.0
1999-02-04,1.1337,1.1365,1.1275,1.1355,6027.0,199903.0,27998.0
1999-02-05,1.1354,1.1389,1.1274,1.1285,2585.0,199903.0,28482.0
1999-02-08,1.1288,1.1346,1.1241,1.1344,10464.0,199903.0,29894.0
1999-02-09,1.1328,1.1374,1.1298,1.1308,2001.0,199903.0,30301.0
1999-02-10,1.1335,1.1378,1.1296,1.1363,4079.0,199903.0,27459.0
1999-02-11,1.133,1.1349,1.1245,1.1249,2949.0,199903.0,28798.0
1999-02-12,1.1254,1.1304,1.1227,1.1296,4004.0,199903.0,27749.0
1999-02-16,1.13,1.1317,1.1177,1.1217,6754.0,199903.0,30110.0
1999-02-17,1.122,1.1279,1.1219,1.1251,5049.0,199903.0,30473.0
1999-02-18,1.1268,1.1288,1.1202,1.1216,1765.0,199903.0,31306.0
1999-02-19,1.1235,1.1235,1.1072,1.1075,5547.0,199903.0,33770.0
1999-02-22,1.1033,1.1068,1.0984,1.1047,10335.0,199903.0,37541.0
1999-02-23,1.1044,1.1076,1.0955,1.1016,2774.0,199903.0,37157.0
1999-02-24,1.1018,1.1055,1.0938,1.0996,6587.0,199903.0,35495.0
1999-02-25,1.1009,1.1085,1.1,1.1053,6660.0,199903.0,31204.0
1999-02-26,1.1039,1.1055,1.0964,1.1024,6192.0,199903.0,31506.0
1999-03-01,1.0994,1.1033,1.0891,1.0893,11310.0,199903.0,39082.0
1999-03-02,1.0898,1.0945,1.0869,1.0925,9575.0,199903.0,35989.0
1999-03-03,1.0938,1.0952,1.0887,1.0895,9064.0,199903.0,35003.0
1999-03-04,1.0891,1.0896,1.0797,1.0825,8967.0,199903.0,35268.0
1999-03-05,1.0804,1.0867,1.0778,1.083,9643.0,199903.0,34838.0
1999-03-08,1.0825,1.0925,1.0809,1.0892,21368.0,199903.0,39649.0
1999-03-09,1.09,1.091,1.0867,1.0894,19814.0,199903.0,44090.0
1999-03-10,1.0918,1.099,1.0918,1.0955,22255.0,199903.0,44952.0
1999-03-11,1.0955,1.105,1.0806,1.1032,29009.0,199903.0,52365.0
1999-03-12,1.094,1.0955,1.0901,1.0905,16688.0,199903.0,51548.0
1999-03-15,1.0957,1.102,1.0941,1.0989,12739.0,199906.0,49350.0
1999-03-16,1.0984,1.1058,1.0866,1.1051,20198.0,199906.0,32579.0
1999-03-17,1.1046,1.1095,1.099,1.1055,9779.0,199906.0,31269.0
1999-03-18,1.1045,1.112,1.1012,1.1021,10309.0,199906.0,29761.0
1999-03-19,1.1021,1.1044,1.0931,1.0938,7723.0,199906.0,32815.0
1999-03-22,1.096,1.0967,1.0903,1.0965,8009.0,199906.0,32373.0
1999-03-23,1.0956,1.0974,1.0913,1.0958,7642.0,199906.0,29252.0
1999-03-24,1.0961,1.1012,1.0927,1.094,7474.0,199906.0,27883.0
1999-03-25,1.0934,1.0952,1.088,1.0883,5306.0,199906.0,30060.0
1999-03-26,1.0881,1.091,1.076,1.0813,20962.0,199906.0,37931.0
1999-03-29,1.0796,1.083,1.073,1.0784,10164.0,199906.0,36932.0
1999-03-30,1.078,1.082,1.0749,1.0762,3013.0,199906.0,36612.0
1999-03-31,1.0763,1.0869,1.0738,1.0802,7379.0,199906.0,33997.0
1999-04-01,1.0815,1.0864,1.0772,1.0833,6653.0,199906.0,34944.0
1999-04-05,1.0833,1.0834,1.0745,1.0756,2610.0,199906.0,34718.0
1999-04-06,1.0756,1.09,1.0747,1.0884,12022.0,199906.0,30360.0
1999-04-07,1.0882,1.0887,1.081,1.0816,6808.0,199906.0,29212.0
1999-04-08,1.0819,1.0915,1.0768,1.0784,15038.0,199906.0,30871.0
1999-04-09,1.0792,1.0856,1.0779,1.0845,7056.0,199906.0,32129.0
1999-04-12,1.0861,1.0921,1.0861,1.0866,6002.0,199906.0,31411.0
1999-04-13,1.0863,1.087,1.0795,1.0811,5621.0,199906.0,31725.0
1999-04-14,1.0817,1.0857,1.0811,1.0838,1898.0,199906.0,31134.0
1999-04-15,1.0845,1.0857,1.073,1.0742,12952.0,199906.0,36149.0
1999-04-16,1.0749,1.0756,1.0682,1.0753,8482.0,199906.0,39408.0
1999-04-19,1.0723,1.0738,1.0631,1.0671,9841.0,199906.0,44896.0
1999-04-20,1.068,1.072,1.0648,1.0664,6828.0,199906.0,43656.0
1999-04-21,1.0669,1.0673,1.0614,1.0656,9707.0,199906.0,44146.0
1999-04-22,1.065,1.0689,1.0598,1.065,11372.0,199906.0,44104.0
1999-04-23,1.0648,1.0718,1.063,1.0646,8273.0,199906.0,41316.0
1999-04-26,1.0643,1.0656,1.0612,1.0619,2252.0,199906.0,41712.0
1999-04-27,1.0619,1.0701,1.0615,1.0698,4578.0,199906.0,42000.0
1999-04-28,1.068,1.0725,1.0638,1.0655,6203.0,199906.0,43362.0
1999-04-29,1.066,1.067,1.0604,1.0621,7266.0,199906.0,43858.0
1999-04-30,1.0623,1.0663,1.058,1.0613,6192.0,199906.0,44395.0
1999-05-03,1.0616,1.0628,1.0582,1.0606,3083.0,199906.0,45097.0
1999-05-04,1.0606,1.0663,1.0592,1.0661,10370.0,199906.0,41973.0
1999-05-05,1.0657,1.08,1.0647,1.0773,25584.0,199906.0,41484.0
1999-05-06,1.0772,1.085,1.076,1.084,16358.0,199906.0,42765.0
1999-05-07,1.0829,1.084,1.0768,1.0769,6338.0,199906.0,42284.0
1999-05-10,1.0754,1.086,1.0735,1.0824,5078.0,199906.0,41333.0
1999-05-11,1.0813,1.0824,1.0728,1.0737,7339.0,199906.0,43471.0
1999-05-12,1.0742,1.077,1.0665,1.0672,11965.0,199906.0,44821.0
1999-05-13,1.0673,1.0696,1.0625,1.0686,4629.0,199906.0,45314.0
1999-05-14,1.0684,1.0761,1.0659,1.0672,14615.0,199906.0,46428.0
1999-05-17,1.0693,1.0707,1.0668,1.0688,2454.0,199906.0,46198.0
1999-05-18,1.0692,1.0728,1.0675,1.0705,4252.0,199906.0,45633.0
1999-05-19,1.0697,1.0708,1.0644,1.0676,5145.0,199906.0,45729.0
