Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1979-05-01,0.462,0.462,0.462,0.462,0.0,198003.0,0.0
1979-05-02,0.4635,0.4635,0.462,0.462,4.0,198003.0,1.0
1979-05-03,0.4635,0.4635,0.4635,0.4635,0.0,198003.0,1.0
1979-05-04,0.4675,0.4675,0.4675,0.4675,0.0,198003.0,1.0
1979-05-07,0.4775,0.4775,0.4775,0.4775,0.0,198003.0,1.0
1979-05-08,0.4775,0.4775,0.4775,0.4775,0.0,198003.0,1.0
1979-05-09,0.4875,0.4875,0.4875,0.4875,0.0,198003.0,1.0
1979-05-10,0.4865,0.4865,0.4865,0.4865,0.0,198003.0,1.0
1979-05-11,0.489,0.489,0.489,0.489,0.0,198003.0,1.0
1979-05-14,0.489,0.489,0.489,0.489,0.0,198003.0,1.0
1979-05-15,0.488,0.488,0.488,0.488,0.0,198003.0,1.0
1979-05-16,0.487,0.487,0.487,0.487,0.0,198003.0,1.0
1979-05-17,0.4805,0.4805,0.4805,0.4805,0.0,198003.0,1.0
1979-05-18,0.475,0.475,0.475,0.475,1.0,198003.0,2.0
1979-05-21,0.475,0.475,0.475,0.475,2.0,198003.0,3.0
1979-05-22,0.475,0.475,0.475,0.475,0.0,198003.0,3.0
1979-05-23,0.475,0.475,0.475,0.475,0.0,198003.0,3.0
1979-05-24,0.475,0.475,0.475,0.475,0.0,198003.0,3.0
1979-05-25,0.473,0.473,0.473,0.473,0.0,198003.0,3.0
1979-05-29,0.4635,0.4645,0.4635,0.4645,1.0,198003.0,4.0
1979-05-30,0.4645,0.472,0.4645,0.472,4.0,198003.0,8.0
1979-05-31,0.47,0.47,0.47,0.47,0.0,198003.0,8.0
1979-06-01,0.4685,0.4685,0.4685,0.4685,0.0,198003.0,8.0
1979-06-04,0.47,0.4725,0.47,0.4725,5.0,198003.0,13.0
1979-06-05,0.4725,0.4725,0.4725,0.4725,0.0,198003.0,13.0
1979-06-06,0.4725,0.4725,0.4725,0.4725,0.0,198003.0,13.0
1979-06-07,0.4725,0.4725,0.4725,0.4725,0.0,198003.0,13.0
1979-06-08,0.4765,0.4765,0.474,0.4752,14.0,198003.0,26.0
1979-06-11,0.4728,0.4728,0.472,0.472,11.0,198003.0,24.0
1979-06-12,0.469,0.469,0.469,0.469,1.0,198003.0,24.0
1979-06-13,0.4675,0.4675,0.4675,0.4675,0.0,198003.0,24.0
1979-06-14,0.4685,0.4685,0.4685,0.4685,1.0,198003.0,25.0
1979-06-15,0.472,0.472,0.472,0.472,0.0,198003.0,25.0
1979-06-18,0.4715,0.4715,0.4715,0.4715,0.0,198003.0,0.0
1979-06-19,0.4725,0.473,0.4715,0.473,5.0,198003.0,28.0
1979-06-20,0.472,0.4722,0.4718,0.4718,29.0,198003.0,53.0
1979-06-21,0.4723,0.477,0.4715,0.4765,65.0,198003.0,114.0
1979-06-22,0.477,0.4812,0.477,0.48,17.0,198003.0,128.0
1979-06-25,0.484,0.489,0.484,0.4855,61.0,198003.0,189.0
1979-06-26,0.48,0.48,0.4775,0.4775,56.0,198003.0,225.0
1979-06-27,0.4795,0.4795,0.4755,0.4755,18.0,198003.0,230.0
1979-06-28,0.4788,0.4788,0.4755,0.476,6.0,198003.0,234.0
1979-06-29,0.475,0.475,0.4725,0.4725,3.0,198003.0,237.0
