Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-03-30,211.2,211.2,211.2,211.2,0.0,198002.0,2.0
1978-03-31,215.1,215.1,215.1,215.1,1.0,198002.0,3.0
1978-04-03,212.8,212.8,207.5,207.5,15.0,198002.0,10.0
1978-04-04,207.6,207.6,206.6,206.6,1.0,198002.0,10.0
1978-04-05,208.0,208.0,208.0,208.0,0.0,198002.0,10.0
1978-04-06,210.3,210.3,210.3,210.3,0.0,198002.0,10.0
1978-04-07,208.3,208.3,207.2,207.2,10.0,198002.0,16.0
1978-04-10,208.0,208.0,208.0,208.0,50.0,198002.0,50.0
1978-04-11,209.7,209.7,209.7,209.7,120.0,198002.0,170.0
1978-04-12,209.2,209.2,208.9,208.9,1.0,198002.0,171.0
1978-04-13,207.2,207.2,207.2,207.2,0.0,198002.0,171.0
1978-04-14,205.1,205.1,204.9,204.9,100.0,198002.0,271.0
1978-04-17,199.5,199.5,198.3,198.3,277.0,198002.0,89.0
1978-04-18,199.0,200.0,199.0,200.0,21.0,198002.0,98.0
1978-04-19,200.5,200.5,199.7,199.7,1.0,198002.0,99.0
1978-04-20,194.8,196.6,194.6,196.6,25.0,198002.0,124.0
1978-04-21,196.8,197.8,196.6,196.6,11.0,198002.0,134.0
1978-04-24,193.1,193.1,193.1,193.1,0.0,198002.0,134.0
1978-04-25,194.2,194.2,190.5,191.9,149.0,198002.0,221.0
1978-04-26,193.5,193.5,192.7,192.7,208.0,198002.0,341.0
1978-04-27,194.1,196.0,194.1,196.0,12.0,198002.0,343.0
1978-04-28,196.3,196.3,195.0,195.0,1.0,198002.0,344.0
1978-05-01,194.0,194.0,194.0,194.0,3.0,198002.0,344.0
1978-05-02,193.9,195.0,193.9,195.0,10.0,198002.0,351.0
1978-05-03,197.3,197.3,197.1,197.1,13.0,198002.0,351.0
1978-05-04,200.2,200.6,199.8,199.8,85.0,198002.0,358.0
1978-05-05,199.5,200.2,199.0,199.7,147.0,198002.0,302.0
1978-05-08,199.0,199.0,197.7,197.7,38.0,198002.0,305.0
1978-05-09,198.7,198.7,197.6,197.6,10.0,198002.0,309.0
1978-05-10,199.1,200.1,199.1,200.1,52.0,198002.0,307.0
1978-05-11,202.0,202.0,199.5,199.7,3.0,198002.0,306.0
1978-05-12,200.3,200.3,200.0,200.0,5.0,198002.0,302.0
1978-05-15,201.6,202.5,201.6,202.5,12.0,198002.0,308.0
1978-05-16,203.5,203.5,203.5,203.5,0.0,198002.0,308.0
1978-05-17,203.5,203.5,203.2,203.2,8.0,198002.0,312.0
1978-05-18,204.5,205.4,204.5,205.4,32.0,198002.0,309.0
1978-05-19,205.4,205.4,205.2,205.2,1.0,198002.0,312.0
1978-05-22,206.5,206.8,205.8,206.8,68.0,198002.0,320.0
1978-05-23,206.8,210.0,206.8,209.5,11.0,198002.0,323.0
1978-05-24,208.0,208.5,207.0,207.0,11.0,198002.0,326.0
1978-05-25,207.3,208.0,207.0,208.0,4.0,198002.0,325.0
1978-05-26,207.0,208.1,207.0,208.1,17.0,198002.0,327.0
1978-05-30,213.4,213.4,213.4,213.4,15.0,198002.0,351.0
1978-05-31,215.0,215.3,214.3,214.3,39.0,198002.0,355.0
1978-06-01,213.5,214.2,213.5,214.0,32.0,198002.0,386.0
1978-06-02,212.0,212.0,212.0,212.0,11.0,198002.0,396.0
1978-06-05,210.3,210.3,210.3,210.3,15.0,198002.0,405.0
1978-06-06,209.9,210.8,209.6,210.6,22.0,198002.0,411.0
1978-06-07,208.9,208.9,208.9,208.9,0.0,198002.0,410.0
1978-06-08,210.2,210.2,210.2,210.2,0.0,198002.0,410.0
1978-06-09,209.0,209.9,209.0,209.8,25.0,198002.0,410.0
1978-06-12,207.8,210.1,207.8,209.6,23.0,198002.0,412.0
1978-06-13,212.4,212.4,211.5,212.2,25.0,198002.0,416.0
1978-06-14,213.0,213.0,211.7,211.7,11.0,198002.0,404.0
1978-06-15,212.6,212.6,212.6,212.6,15.0,198002.0,396.0
1978-06-16,213.5,215.1,213.5,214.7,7.0,198002.0,395.0
1978-06-19,214.5,217.0,214.1,215.7,31.0,198002.0,416.0
1978-06-20,216.8,216.9,215.5,215.5,166.0,198002.0,551.0
1978-06-21,216.1,216.1,215.4,215.4,7.0,198002.0,552.0
1978-06-22,215.7,215.7,215.7,215.7,1.0,198002.0,553.0
1978-06-23,215.8,215.8,215.0,215.0,10.0,198002.0,562.0
1978-06-26,214.3,214.5,214.2,214.2,11.0,198002.0,566.0
1978-06-27,214.2,214.3,214.2,214.3,6.0,198002.0,568.0
1978-06-28,213.8,213.8,213.8,213.8,25.0,198002.0,593.0
1978-06-29,211.8,211.8,211.3,211.3,44.0,198002.0,636.0
1978-06-30,211.0,211.0,211.0,211.0,23.0,198002.0,657.0
1978-07-03,212.2,212.2,212.2,212.2,1.0,198002.0,656.0
1978-07-05,212.3,212.3,212.3,212.3,203.0,198002.0,658.0
1978-07-06,211.2,211.2,211.2,211.2,9.0,198002.0,655.0
1978-07-07,214.2,214.2,214.2,214.2,40.0,198002.0,695.0
1978-07-10,215.6,215.6,215.4,215.4,168.0,198002.0,758.0
1978-07-11,214.9,214.9,214.4,214.7,459.0,198002.0,1030.0
1978-07-12,215.2,215.3,214.6,215.3,42.0,198002.0,1055.0
1978-07-13,215.6,215.6,214.2,214.2,31.0,198002.0,1071.0
1978-07-14,214.4,214.7,214.1,214.7,120.0,198002.0,1136.0
1978-07-17,212.4,212.4,212.4,212.4,212.0,198002.0,1258.0
1978-07-18,213.6,213.6,213.6,213.6,48.0,198002.0,1263.0
1978-07-19,215.3,215.3,215.3,215.3,75.0,198002.0,1284.0
1978-07-20,221.1,221.1,221.1,221.1,43.0,198002.0,1336.0
1978-07-21,221.4,225.7,221.4,225.7,53.0,198002.0,1383.0
1978-07-24,226.0,226.0,223.2,223.2,72.0,198002.0,1397.0
1978-07-25,223.0,225.1,223.0,225.1,50.0,198002.0,1428.0
1978-07-26,224.6,224.6,223.4,224.6,51.0,198002.0,1446.0
1978-07-27,228.1,228.1,228.1,228.1,22.0,198002.0,1455.0
1978-07-28,232.6,234.0,230.8,230.8,182.0,198002.0,1585.0
1978-07-31,231.3,233.8,230.5,233.8,100.0,198002.0,1619.0
1978-08-01,237.0,237.0,231.5,231.6,120.0,198002.0,1684.0
1978-08-02,232.9,232.9,232.0,232.7,127.0,198002.0,1771.0
1978-08-03,233.7,233.7,229.5,229.7,160.0,198002.0,1747.0
1978-08-04,230.7,233.7,230.7,233.7,303.0,198002.0,1790.0
1978-08-07,235.4,237.3,235.4,237.3,220.0,198002.0,1918.0
1978-08-08,236.8,238.8,236.6,238.2,231.0,198002.0,1897.0
1978-08-09,236.4,236.8,234.9,234.9,161.0,198002.0,2030.0
1978-08-10,233.0,240.2,233.0,239.4,288.0,198002.0,2233.0
1978-08-11,241.0,242.0,240.2,240.2,128.0,198002.0,2209.0
1978-08-14,244.0,245.0,244.0,244.6,66.0,198002.0,2209.0
1978-08-15,242.9,243.6,240.7,242.2,69.0,198002.0,2234.0
1978-08-16,245.0,245.0,240.5,241.4,141.0,198002.0,2184.0
1978-08-17,239.0,239.0,235.2,235.2,114.0,198002.0,2208.0
1978-08-18,238.0,238.0,235.0,235.9,104.0,198002.0,2159.0
1978-08-21,232.2,235.8,231.0,235.8,207.0,198002.0,2274.0
1978-08-22,236.0,236.0,232.4,232.4,75.0,198002.0,2306.0
1978-08-23,226.5,229.7,226.5,229.7,205.0,198002.0,2390.0
1978-08-24,230.0,233.0,227.5,227.5,102.0,198002.0,2404.0
1978-08-25,224.9,225.2,224.8,225.2,408.0,198002.0,2577.0
1978-08-28,225.4,225.4,225.4,225.4,214.0,198002.0,2629.0
1978-08-29,226.5,234.6,226.5,234.6,236.0,198002.0,2709.0
1978-08-30,233.6,235.4,233.5,234.9,83.0,198002.0,2760.0
1978-08-31,236.8,236.8,234.3,234.3,102.0,198002.0,2768.0
1978-09-01,236.3,239.7,236.3,239.7,86.0,198002.0,2737.0
1978-09-05,239.2,243.0,238.7,242.4,544.0,198002.0,3100.0
1978-09-06,241.4,242.2,241.2,241.2,558.0,198002.0,3260.0
1978-09-07,239.3,248.4,235.3,235.3,175.0,198002.0,3379.0
1978-09-08,234.3,234.3,231.5,233.9,324.0,198002.0,3490.0
1978-09-11,234.9,234.9,234.1,234.1,47.0,198002.0,3487.0
1978-09-12,236.1,236.1,235.3,235.3,95.0,198002.0,3488.0
1978-09-13,238.0,240.4,238.0,239.7,193.0,198002.0,3511.0
1978-09-14,237.7,238.3,237.5,238.2,256.0,198002.0,3599.0
1978-09-15,239.7,240.9,238.9,238.9,558.0,198002.0,3801.0
1978-09-18,237.5,240.8,237.5,240.8,21.0,198002.0,3806.0
1978-09-19,240.6,242.1,239.2,239.2,67.0,198002.0,3802.0
1978-09-20,243.3,244.6,242.5,244.6,261.0,198002.0,3900.0
1978-09-21,246.8,246.8,244.5,245.6,382.0,198002.0,4006.0
1978-09-22,248.0,248.2,242.0,248.2,214.0,198002.0,3995.0
1978-09-25,248.0,249.8,247.1,247.1,271.0,198002.0,4059.0
1978-09-26,249.2,250.0,245.1,245.2,2042.0,198002.0,4913.0
1978-09-27,246.5,248.0,241.0,248.0,3363.0,198002.0,7051.0
1978-09-28,247.4,248.4,247.0,247.3,1457.0,198002.0,7993.0
1978-09-29,247.3,247.3,246.3,246.8,1019.0,198002.0,8462.0
1978-10-02,247.1,249.1,247.1,249.1,1157.0,198002.0,8923.0
1978-10-03,251.3,252.8,251.3,252.6,2071.0,198002.0,10711.0
1978-10-04,254.0,254.0,252.5,253.6,344.0,198002.0,10616.0
1978-10-05,254.5,254.6,253.6,253.6,2693.0,198002.0,12799.0
1978-10-06,253.5,253.5,251.0,251.7,1275.0,198002.0,14005.0
1978-10-09,251.8,253.2,250.7,253.2,496.0,198002.0,14369.0
1978-10-10,255.4,255.7,254.1,254.1,1127.0,198002.0,15005.0
1978-10-11,256.4,257.5,256.0,257.5,3202.0,198002.0,16471.0
1978-10-12,256.0,256.1,252.8,252.8,5956.0,198002.0,19459.0
1978-10-13,254.3,254.3,252.8,253.4,422.0,198002.0,18579.0
1978-10-16,252.7,256.4,251.9,256.4,822.0,198002.0,18930.0
1978-10-17,257.9,258.8,257.0,257.9,1539.0,198002.0,19535.0
1978-10-18,258.8,258.8,256.6,257.7,2127.0,198002.0,19770.0
1978-10-19,255.0,255.0,254.2,254.5,1058.0,198002.0,19458.0
1978-10-20,257.0,257.9,257.0,257.0,459.0,198002.0,20192.0
1978-10-23,256.4,256.4,254.8,254.8,533.0,198002.0,20123.0
1978-10-24,254.6,257.2,254.0,257.2,494.0,198002.0,20418.0
