Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1983-03-30,29.01,29.56,29.01,29.4,1884.0,198306.0,1057.0
1983-03-31,29.4,29.6,29.25,29.29,1478.0,198306.0,1381.0
1983-04-04,29.3,29.7,29.29,29.44,478.0,198306.0,1410.0
1983-04-05,29.5,29.8,29.5,29.71,478.0,198306.0,1523.0
1983-04-06,29.9,29.92,29.65,29.9,893.0,198306.0,1647.0
1983-04-07,29.9,30.2,29.86,30.17,1469.0,198306.0,1845.0
1983-04-08,30.65,30.65,30.25,30.38,1028.0,198306.0,1861.0
1983-04-11,30.4,30.41,30.0,30.26,797.0,198306.0,1956.0
1983-04-12,30.5,31.0,30.5,30.83,928.0,198306.0,2053.0
1983-04-13,30.6,30.95,30.6,30.82,1418.0,198306.0,2261.0
1983-04-14,30.7,30.86,30.65,30.69,695.0,198306.0,2385.0
1983-04-15,30.55,30.6,30.35,30.48,698.0,198306.0,2606.0
1983-04-18,30.56,30.8,30.55,30.75,262.0,198306.0,2577.0
1983-04-19,30.7,30.85,30.7,30.75,557.0,198306.0,2575.0
1983-04-20,30.65,30.77,30.6,30.7,398.0,198306.0,2630.0
1983-04-21,30.75,30.75,30.58,30.68,279.0,198306.0,2675.0
1983-04-22,30.62,30.85,30.62,30.75,530.0,198306.0,2760.0
1983-04-25,30.78,30.89,30.78,30.84,324.0,198306.0,2761.0
1983-04-26,30.81,30.85,30.69,30.71,417.0,198306.0,2808.0
1983-04-27,30.8,30.82,30.78,30.78,433.0,198306.0,2962.0
1983-04-28,30.73,30.9,30.68,30.74,1206.0,198306.0,3381.0
1983-04-29,30.7,30.74,30.63,30.63,636.0,198306.0,3158.0
1983-05-02,30.66,30.72,30.57,30.61,359.0,198306.0,3166.0
1983-05-03,30.7,30.7,30.45,30.5,1003.0,198306.0,3344.0
1983-05-04,30.5,30.55,30.39,30.42,843.0,198306.0,3374.0
1983-05-05,30.47,30.47,30.2,30.2,714.0,198306.0,3673.0
1983-05-06,30.18,30.45,30.18,30.45,798.0,198306.0,3821.0
1983-05-09,30.4,30.43,29.95,30.1,1372.0,198306.0,3951.0
1983-05-10,30.15,30.4,30.1,30.31,990.0,198306.0,4089.0
1983-05-11,30.15,30.15,29.95,29.97,684.0,198306.0,4115.0
1983-05-12,29.64,29.85,29.64,29.72,1359.0,198306.0,4429.0
1983-05-13,29.61,29.8,29.53,29.8,1005.0,198306.0,4567.0
1983-05-16,29.85,30.14,29.85,30.12,1052.0,198306.0,4723.0
1983-05-17,30.05,30.2,29.9,29.91,783.0,198306.0,4618.0
1983-05-18,29.75,29.78,29.25,29.75,373.0,198306.0,4615.0
1983-05-19,29.95,30.0,29.91,29.95,137.0,198307.0,4528.0
1983-05-20,30.1,30.66,30.1,30.3,1599.0,198307.0,4504.0
1983-05-23,30.25,30.5,30.25,30.27,1072.0,198307.0,4523.0
1983-05-24,30.05,30.07,29.95,30.05,553.0,198307.0,4526.0
1983-05-25,29.95,30.25,29.95,30.25,189.0,198307.0,4439.0
1983-05-26,30.3,30.5,30.3,30.31,741.0,198307.0,4486.0
1983-05-27,30.25,30.48,30.15,30.19,555.0,198307.0,4565.0
1983-05-31,30.05,30.45,30.05,30.25,365.0,198307.0,4436.0
1983-06-01,30.2,30.35,30.2,30.33,525.0,198307.0,4338.0
1983-06-02,30.45,30.45,30.4,30.4,225.0,198307.0,4435.0
1983-06-03,30.3,30.45,30.3,30.36,344.0,198307.0,4287.0
1983-06-06,30.35,30.35,30.3,30.35,241.0,198307.0,4210.0
1983-06-07,30.1,30.6,30.1,30.59,851.0,198307.0,4031.0
1983-06-08,30.59,30.71,30.59,30.6,1372.0,198307.0,4279.0
1983-06-09,30.6,30.65,30.45,30.49,637.0,198307.0,4053.0
1983-06-10,30.55,30.8,30.55,30.77,1036.0,198307.0,4288.0
1983-06-13,30.86,31.05,30.85,31.0,1225.0,198307.0,4511.0
1983-06-14,31.0,31.25,31.0,31.0,1121.0,198307.0,4618.0
1983-06-15,31.1,31.3,31.1,31.3,793.0,198307.0,4629.0
1983-06-16,31.3,31.65,31.3,31.6,1301.0,198307.0,4703.0
1983-06-17,31.6,31.6,31.4,31.4,881.0,198307.0,4997.0
1983-06-20,31.37,31.58,31.37,31.42,488.0,198308.0,4573.0
1983-06-21,31.32,31.35,31.15,31.18,268.0,198308.0,4525.0
1983-06-22,31.18,31.2,30.85,30.95,1145.0,198308.0,4711.0
